"","hotel","rating","page","star","ctry"
"585","Holiday Inn Express London Park Royal","82",4,3,2
"586","Lancaster Gate","75",4,3,2
"587","Studios2Let - North Gower Street","77",4,3,2
"588","Norfolk Towers Paddington","71",4,3,2
"589","Unique","78",4,3,2
"590","Park Avenue Baker Street","73",4,3,2
"591","Best Western Phoenix","77",4,3,2
"592","Holiday Inn Express London City","77",4,3,2
"593","Holiday Inn Express London Royal Docks","75",4,3,2
"594","Elysee","71",4,3,2
"595","St Giles Central London","72",4,3,2
"596","The Alexander Pope","83",4,3,2
"597","Britannia Inn","70",4,3,2
"598","MB London","73",4,3,2
"599","Henley House","81",4,3,2
"600","Hotel 65","62",4,3,2
"601","Grand","68",5,3,2
"602","The Z Soho","81",5,3,2
"603","Central Park","63",5,3,2
"604","Royal Hyde Park","68",5,3,2
"605","Premier Inn London Leicester Square","85",5,3,2
"606","Kensington Rooms","61",5,3,2
"607","The Americana","68",5,3,2
"608","The Gresham","63",5,3,2
"609","Eurotraveller Express","71",5,3,2
"610","Oxford","55",5,3,2
"611","Imperial - Russell Square","71",5,3,2
"612","Innkeepers Lodge Beckenham","80",5,3,2
"613","La Reserve","65",5,3,2
"614","The Darlington Hyde Park","85",5,3,2
"615","Staycity Aparthotels Greenwich High Road","86",5,3,2
"616","Imperial President","69",5,3,2
"617","198 Suites","75",5,3,2
"618","London Lodge Hotel","79",5,3,2
"619","Kensington Court ","71",5,3,2
"620","London Central Kings Cross Royal Scot","68",5,3,2
"621","Holiday Inn London-Brent Cross","77",5,3,2
"622","Stylotel","75",5,3,2
"623","Best Western Burns Kensington","74",5,3,2
"624","Plaza London","63",5,3,2
"625","St Mark","65",5,3,2
"626","Best Western Corona","71",6,3,2
"627","Travelodge London Excel","76",6,3,2
"628","Staybridge Suites London - Vauxhall","92",6,3,2
"629","The Sanctuary House","86",6,3,2
"630","Days Inn Westminster","80",6,3,2
"631","Golden Strand","70",6,3,2
"632","The Bridge Greenford","81",6,3,2
"633","Travelodge London Farringdon","59",6,3,2
"634","Best Western Swiss Cottage","76",6,3,2
"635","Ambassadors","61",6,3,2
"636","Chelsea Cloisters","65",6,3,2
"637","Holiday Inn Express London Greenwich A102 M","80",6,3,2
"638","Citadines Barbican","79",6,3,2
"639","The Royal Foundation of St Katharine","87",6,3,2
"640","Kingsway Park","61",6,3,2
"641","Olympia","56",6,3,2
"642","Hotel 43","69",6,3,2
"643","London Elizabeth","75",6,3,2
"644","Dockside","79",6,3,2
"645","Belle Russell Square ex Welcome Inn","59",6,3,2
"646","Russell Court","74",6,3,2
"647","Royal Eagle","63",6,3,2
"648","Kensington Suite","57",6,3,2
"649","Best Western The Cromwell","74",6,3,2
"650","Holiday Inn Express London Southwark","77",6,3,2
"651","Hotel 261","64",7,3,2
"652","Castletown House","85",7,3,2
"653","The W14 Kensington","76",7,3,2
"654","Kingsland","79",7,3,2
"655","The Barn","78",7,3,2
"656","The Regency","77",7,3,2
"657","Knaresborough Serviced Apartments","73",7,3,2
"658","Rose Court Marble Arch","58",7,3,2
"659","Comfort Inn Victoria","68",7,3,2
"660","So Paddington","54",7,3,2
"661","The Coronation","71",7,3,2
"662","The Windmill","73",7,3,2
"663","City","75",7,3,2
"664","Ramada London North M1","79",7,3,2
"665","Avni Kensington","69",7,3,2
"666","The Craven","62",7,3,2
"667","SO Kings Cross","69",7,3,2
"668","Boundary","87",7,3,2
"669","Haverstock Hotel","75",7,3,2
"670","Holiday Inn Express London Stratford","79",7,3,2
"671","Best Western Bromley Court","77",7,3,2
"672","Tudor Court","69",7,3,2
"673","Hallam","56",7,3,2
"674","Imperial Bedford","75",7,3,2
"675","The Wellington","78",7,3,2
"676","Astor Court","73",8,3,2
"677","Holiday Inn Express London  Limehouse","79",8,3,2
"678","Holiday Inn Express London Chingford-North Circular","80",8,3,2
"679","Mk London","81",8,3,2
"680","Capricorn Oliver Plaza","72",8,3,2
"681","Abbey Point","72",8,3,2
"682","Beaver","70",8,3,2
"683","The Hyde Park","67",8,3,2
"684","Holiday Inn Express London Victoria","72",8,3,2
"685","Quality Hampstead","77",8,3,2
"686","Amsterdam","78",8,3,2
"687","Belgrave","77",8,3,2
"688","ibis Styles London Southwark Rose","79",8,3,2
"689","Britannia Hampstead","59",8,3,2
"690","Huttons","65",8,3,2
"691","Eurotraveller Premier Tower Bridge","74",8,3,2
"692","Comfotel Blu","65",8,3,2
"693","Best Western Chiswick Palace & Suites","77",8,3,2
"694","Diplomat","74",8,3,2
"695","27 Paddington ","73",8,3,2
"696","Berjaya Eden Park London Hotel - United Kingdom","65",8,3,2
"697","The Fox & Goose","81",8,3,2
"698","Hotel 82 London","71",8,3,2
"699","Ivy House","82",8,3,2
"700","St Georgio ","74",8,3,2
"701","Lord Kensington","69",9,3,2
